nohup: ignoring input
Head parameter counts at d=4:
  rank=0     8 params (VQC: 24)
  rank=1    16 params (VQC: 24)
  rank=2    24 params (VQC: 24)  <-- matches VQC exactly
  rank=4    40 params (VQC: 24)
  rank=8    72 params (VQC: 24)

Capacity sweep | 1000 cells | classical only, cached features
  device=cuda sha=ec5cae63
[16/1000] breastmnist n=5 s=777 rank=0 auc=0.3542 f1=0.2149 ETA 0.0h
[17/1000] breastmnist n=5 s=777 rank=1 auc=0.3647 f1=0.2412 ETA 0.0h
[18/1000] breastmnist n=5 s=777 rank=2 auc=0.5201 f1=0.4282 ETA 0.1h
[19/1000] breastmnist n=5 s=777 rank=4 auc=0.5190 f1=0.4494 ETA 0.1h
[20/1000] breastmnist n=5 s=777 rank=8 auc=0.5570 f1=0.4311 ETA 0.1h
[21/1000] breastmnist n=5 s=888 rank=0 auc=0.7772 f1=0.6714 ETA 0.1h
[22/1000] breastmnist n=5 s=888 rank=1 auc=0.7070 f1=0.6366 ETA 0.1h
[23/1000] breastmnist n=5 s=888 rank=2 auc=0.7540 f1=0.6536 ETA 0.1h
[24/1000] breastmnist n=5 s=888 rank=4 auc=0.7540 f1=0.6536 ETA 0.1h
[25/1000] breastmnist n=5 s=888 rank=8 auc=0.7041 f1=0.6176 ETA 0.1h
[26/1000] breastmnist n=5 s=31337 rank=0 auc=0.4618 f1=0.4581 ETA 0.1h
[27/1000] breastmnist n=5 s=31337 rank=1 auc=0.6213 f1=0.2866 ETA 0.1h
[28/1000] breastmnist n=5 s=31337 rank=2 auc=0.6836 f1=0.4674 ETA 0.1h
[29/1000] breastmnist n=5 s=31337 rank=4 auc=0.6850 f1=0.4740 ETA 0.1h
[30/1000] breastmnist n=5 s=31337 rank=8 auc=0.7220 f1=0.5969 ETA 0.1h
[31/1000] breastmnist n=5 s=8 rank=0 auc=0.5378 f1=0.3688 ETA 0.1h
[32/1000] breastmnist n=5 s=8 rank=1 auc=0.4294 f1=0.3428 ETA 0.1h
[33/1000] breastmnist n=5 s=8 rank=2 auc=0.5008 f1=0.4520 ETA 0.1h
[34/1000] breastmnist n=5 s=8 rank=4 auc=0.5008 f1=0.4520 ETA 0.1h
[35/1000] breastmnist n=5 s=8 rank=8 auc=0.5938 f1=0.4222 ETA 0.1h
[36/1000] breastmnist n=5 s=271828 rank=0 auc=0.5984 f1=0.4583 ETA 0.1h
[37/1000] breastmnist n=5 s=271828 rank=1 auc=0.5906 f1=0.4730 ETA 0.1h
[38/1000] breastmnist n=5 s=271828 rank=2 auc=0.5992 f1=0.5433 ETA 0.1h
[39/1000] breastmnist n=5 s=271828 rank=4 auc=0.6013 f1=0.5479 ETA 0.1h
[40/1000] breastmnist n=5 s=271828 rank=8 auc=0.5898 f1=0.5764 ETA 0.1h
[41/1000] breastmnist n=5 s=161803 rank=0 auc=0.7093 f1=0.6414 ETA 0.1h
[42/1000] breastmnist n=5 s=161803 rank=1 auc=0.6940 f1=0.6195 ETA 0.1h
[43/1000] breastmnist n=5 s=161803 rank=2 auc=0.6869 f1=0.4708 ETA 0.1h
[44/1000] breastmnist n=5 s=161803 rank=4 auc=0.6888 f1=0.4708 ETA 0.1h
[45/1000] breastmnist n=5 s=161803 rank=8 auc=0.7287 f1=0.6706 ETA 0.1h
[46/1000] breastmnist n=5 s=1414 rank=0 auc=0.6740 f1=0.4926 ETA 0.1h
[47/1000] breastmnist n=5 s=1414 rank=1 auc=0.6792 f1=0.4222 ETA 0.1h
[48/1000] breastmnist n=5 s=1414 rank=2 auc=0.6301 f1=0.5129 ETA 0.1h
[49/1000] breastmnist n=5 s=1414 rank=4 auc=0.6598 f1=0.5662 ETA 0.1h
[50/1000] breastmnist n=5 s=1414 rank=8 auc=0.6401 f1=0.5677 ETA 0.1h
[51/1000] breastmnist n=10 s=42 rank=0 auc=0.7201 f1=0.5946 ETA 0.1h
[52/1000] breastmnist n=10 s=42 rank=1 auc=0.7045 f1=0.5784 ETA 0.1h
[53/1000] breastmnist n=10 s=42 rank=2 auc=0.7220 f1=0.6194 ETA 0.1h
[54/1000] breastmnist n=10 s=42 rank=4 auc=0.7218 f1=0.6292 ETA 0.1h
[55/1000] breastmnist n=10 s=42 rank=8 auc=0.6658 f1=0.5580 ETA 0.1h
[56/1000] breastmnist n=10 s=123 rank=0 auc=0.7293 f1=0.6268 ETA 0.1h
[57/1000] breastmnist n=10 s=123 rank=1 auc=0.7348 f1=0.6323 ETA 0.1h
[58/1000] breastmnist n=10 s=123 rank=2 auc=0.7210 f1=0.5595 ETA 0.1h
[59/1000] breastmnist n=10 s=123 rank=4 auc=0.7216 f1=0.5654 ETA 0.1h
[60/1000] breastmnist n=10 s=123 rank=8 auc=0.7089 f1=0.5796 ETA 0.1h
[61/1000] breastmnist n=10 s=2026 rank=0 auc=0.6738 f1=0.6238 ETA 0.1h
[62/1000] breastmnist n=10 s=2026 rank=1 auc=0.6769 f1=0.6014 ETA 0.1h
[63/1000] breastmnist n=10 s=2026 rank=2 auc=0.6725 f1=0.5909 ETA 0.1h
[64/1000] breastmnist n=10 s=2026 rank=4 auc=0.6648 f1=0.6068 ETA 0.1h
[65/1000] breastmnist n=10 s=2026 rank=8 auc=0.6717 f1=0.5802 ETA 0.1h
[66/1000] breastmnist n=10 s=777 rank=0 auc=0.6970 f1=0.6147 ETA 0.1h
[67/1000] breastmnist n=10 s=777 rank=1 auc=0.7201 f1=0.6360 ETA 0.1h
[68/1000] breastmnist n=10 s=777 rank=2 auc=0.7281 f1=0.6638 ETA 0.1h
[69/1000] breastmnist n=10 s=777 rank=4 auc=0.7277 f1=0.6582 ETA 0.1h
[70/1000] breastmnist n=10 s=777 rank=8 auc=0.7322 f1=0.6523 ETA 0.1h
[71/1000] breastmnist n=10 s=888 rank=0 auc=0.7592 f1=0.2219 ETA 0.1h
